Alignment ID,Average Rt(min),Average Mz,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14
99,18.538,594.58105,22029,25490,35260,15495,23602,20379,22643,24919,30177,23908,16990,22222,29074,28299
100,18.035,595.52838,52309,45383,37476,18913,22259,36521,29162,22858,13377,27479,33462,29778,33444,26729
101,3.918,606.4212,107069,522,103256,33983,141848,4683,175723,125912,1381,77732,5318,95551,1923,19479
102,11.547,609.48297,16096,60789,45483,16031,44733,73115,33715,26607,35584,23953,64564,45127,15321,63478
103,11.746,609.48309,16096,1764,45483,130,44733,1414,33715,544,35584,502,1042,45127,733,7028
104,13.551,610.43091,30568,23599,29510,12515,24307,37336,37565,27559,73897,14842,11526,14517,14940,17497
105,17.442,610.54163,146948,216727,146133,76807,91161,169155,104470,106152,65504,92271,139085,148689,109437,113629
106,3.918,611.3764,69953,976,94296,6435,132338,4225,156651,99605,11960,9463,3713,76428,801,3083
107,18.058,612.55664,995952,936129,678240,406275,368562,743403,540181,474666,268148,579212,553617,549358,633957,501421
108,18.042,617.5127,41639,29372,16396,13124,13986,29817,24275,20697,13121,25664,18030,20346,20701,18082
109,18.484,620.59491,21631,33892,55725,26748,44979,35533,30679,46303,32358,34879,23099,37562,36702,51917
110,19.143,622.6131,107343,147976,168024,82616,164396,109341,116327,179538,140074,138840,63743,136507,176515,148550
111,21.397,628.60101,8510,9326,831,10538,6346,20653,9716,9780,23413,17516,15796,16916,17420,23206
112,19.026,630.61902,17330,24191,28647,17779,25525,20346,17985,23185,21267,21896,17877,20932,22428,25802
113,5.402,634.45197,401546,191043,368014,144533,381697,265145,4497,382633,57894,298090,174451,269121,47078,485136
114,5.538,634.45239,401546,191043,368014,144533,381697,48072,500093,382633,57894,298090,174451,269121,47078,485136
115,19.442,634.65186,20591,27280,14589,8524,27978,22938,14714,21716,21086,15912,11710,14432,28827,16623
116,17.417,636.55603,216658,264643,207505,116765,141367,200530,130129,191633,155640,143581,157936,193168,114312,131877
117,19.631,638.64496,20793,20990,29596,19733,15917,7709,32250,5193,24341,10542,22983,24958,13698,32344
118,5.406,639.40613,347973,177084,306270,137549,261543,233492,2172,296434,61329,268390,169071,250842,44446,424811
119,5.597,639.40692,347973,17556,306270,137549,261543,30404,396443,46649,61329,268390,12601,250842,44446,82936
120,17.981,643.52808,44309,34030,20769,18806,13345,26337,23280,27349,27942,26566,15456,26022,15319,20577
121,18.375,646.61096,25428,42274,58474,30355,41284,43687,31358,27798,26633,33841,31579,46681,32575,56735
122,9.539,650.43616,65772,83899,92201,75198,120481,69896,9085,56681,35706,58949,68263,82920,79415,109338
123,8.662,650.43646,0,40445,50473,28178,4751,35918,233,18061,38009,42519,44458,40908,36162,40045
124,19.861,652.6582,60044,103866,74042,25041,122062,80943,87474,22601,90469,115456,61597,79024,119124,112718
125,6.554,653.42352,25371,1375,45667,2202,56457,4458,59413,2902,321,2591,753,22081,8293,7779
126,15.944,656.52472,25646,43124,71425,10535,53134,32280,152607,45684,68421,11236,20843,47398,29778,33293
127,15.229,661.52783,30271,56601,113933,38010,34082,73706,51961,49340,69788,51053,95001,110546,116472,71644
128,20.491,662.58655,63029,45022,81812,23001,100636,80349,42229,88259,103255,50075,57235,82597,196448,37965
129,20.351,662.58722,63029,45022,81812,23001,100636,80349,41318,88259,103255,50075,57235,82597,196448,37965
130,19.187,662.64478,12198,26786,48749,18534,20213,27044,19296,28893,29519,47318,29895,32209,31645,47709
131,20.897,664.60217,1321132,847020,932540,925969,1831645,114659,1106797,97577,1824262,1320709,1445223,1294464,1987724,1249984
132,20.731,664.60406,1321132,842344,88056,925969,1826854,1209596,1106797,1243528,1824262,1319422,1445223,1294464,1964991,1253673
133,21.116,666.61804,4833047,4014020,4373792,5035990,1053535,4482400,5010652,4897527,7322401,5223888,4932679,5551354,5085763,5089428
134,21.277,666.61841,4833047,691876,4367940,5032950,8596351,4482400,5010652,813291,7322401,5215676,4932679,5551354,5085763,5080342
135,22.218,670.64862,277306,344975,374027,33077,358478,364831,368318,28965,287434,361009,14694,473786,345448,375082
136,22.039,670.65027,292833,361467,436014,339692,66705,364831,367157,278128,287340,361009,251259,473786,345448,375082
137,15.724,675.54401,1001070,1639438,2304465,1503138,1294358,1508561,1607788,1682644,2074997,2041886,2130161,2333829,2636416,2298522
138,21.118,678.61749,17129,1214,13379,519,30321,1404,5199,975,19997,626,219,2275,14527,754
139,20.49,688.60138,620401,1479477,165775,717791,1911945,550817,3263447,762582,1667940,864287,582824,983201,1244065,785081
140,20.676,688.60156,620401,1479477,1536521,50594,1911945,29260,3263447,762582,1667940,45941,67554,983201,1244324,785081
141,21.053,690.61603,1814819,1528771,2331217,3926505,5887576,208722,2108621,227728,3789041,3103424,3767110,2742454,2192459,2776556
142,17.038,700.52686,108226,69461,56305,40980,108550,61761,65605,72821,92675,99395,40448,43739,78695,61673
143,15.757,701.55878,2120820,3132890,3773095,3829133,3573575,3129070,2681591,2705955,2656822,2911616,2929575,3382292,3048617,3815746
144,20.719,702.61902,9941,18588,17067,13857,34103,6630,40371,17295,14710,6609,7570,13016,9706,9429
145,17.142,703.57587,452107,217734,487455,375037,624751,215275,578563,173707,488381,374283,198560,481763,212973,272163
146,15.579,704.52313,46053,53058,99014,47327,39600,113928,125381,55974,45197,44900,183386,228173,283012,75319
147,17.994,708.64984,57390,56282,32163,20244,18128,36545,19929,33658,26278,24933,30156,29507,16003,15586
148,20.794,714.61731,625888,1628751,900150,1533676,893818,74642,1461965,64957,675075,922470,1299726,978685,427186,1034818
149,20.633,714.61896,625888,1625960,94443,1533676,893818,792259,1461965,572598,675075,922249,1299726,978685,427186,1034818
150,15.749,723.54144,106695,89911,91217,169071,112446,123608,96538,85700,87929,151516,98246,139652,101855,151647
