Alignment ID,Average Rt(min),Average Mz,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14
62,9.637,482.32581,1375,860,4496,1836,4290,1212,6258,2022,2975,970,1069,3525,4311,1857
63,6.673,482.36035,2520,4768,2240,4380,2706,4069,950,3607,1758,4040,2563,3638,4217,3654
64,6.91,482.36069,2174,2610,3232,2523,6117,2015,4197,2798,1678,4160,2280,3556,3384,2443
65,4.767,488.32001,17065,12859,31936,4313,21252,8468,615,13419,9409,9986,14540,20558,20946,35371
66,4.763,493.27603,2311,4982,10140,1725,7129,2995,91,4738,3491,3565,4986,6952,7082,11638
67,5.294,496.33917,176983,206254,486633,330164,653117,245026,601242,324316,378529,427397,241776,514106,557968,297716
68,4.345,496.33963,64095,64904,61970,90652,20068,78033,1876,88844,49768,59274,61400,68833,86620,56318
69,5.065,496.34006,441485,510197,486633,613371,94763,599315,12708,617420,378529,427397,465581,514106,557968,493016
70,7.284,508.37668,2325,3394,3155,5566,2262,3663,496,3451,2189,2818,1932,3690,2971,2583
71,5.142,518.32086,20710,24060,22435,21259,16958,22665,3440,20566,22861,21918,24538,25222,22854,25804
72,2.085,520.34949,16558,11385,14434,11438,20011,15953,27676,24447,5042,18291,13835,14014,6386,20271
73,5.794,522.35492,117882,116988,121045,219036,65205,178362,9813,214184,119101,103367,74598,100740,133317,94325
74,5.01,522.35547,12516,11309,13387,21525,16360,16616,728,19628,14415,11572,7733,10756,14229,9376
75,6.07,522.35632,50222,34984,121045,72783,178215,53596,182362,82858,69282,61986,30504,60255,133317,48312
76,8.604,524.37079,20457,21320,24728,26307,5956,34724,329,28705,16634,20780,11157,26299,27450,21671
77,9.336,524.37146,208059,206387,243769,266102,147167,315349,5480,288153,185207,208218,108989,263070,260549,194063
78,8.849,524.37195,9805,6625,24728,10042,32594,9234,31134,10741,8755,10326,4384,26299,13814,7962
79,2.08,525.30499,3337,1995,2448,2007,3924,2994,5156,3962,976,2998,2500,2648,1074,3789
80,2.589,534.36401,4818,3619,4491,3066,5620,4016,6777,6687,1590,4430,3848,3453,1688,5606
81,7.394,535.32483,9974,964,2477,629,7628,1272,6107,1390,693,990,798,1193,922,2493
82,17.076,538.51721,674,1017,995,968,764,780,1006,853,725,942,934,1003,1046,1136
